id,mif_id,category_id,title,isbn,authors,url,created_at,updated_at
18,17774,9,Управление на основе данных,<null>,Тим Филлипс,http://www.mann-ivanov-ferber.ru/books/upravlenie-na-osnove-dannyix/,2017-02-28 16:57:19,2017-02-28 17:03:41
21,17399,15,Женщина,<null>,"Джон Готтман, Джули Шварц-Готтман, Дуглас Абрамс, Рэчел Карлтон Адамс",http://www.mann-ivanov-ferber.ru/books/zhenshhina/,2017-02-28 16:57:19,2017-02-28 17:03:41
22,18359,14,"Слоненок, который хочет уснуть",<null>,Карл-Йохан Форссен Эрлин,http://www.mann-ivanov-ferber.ru/books/slonenok-kotoryij-xochet-usnut/,2017-02-28 16:57:19,2017-02-28 17:03:41
23,17618,12,Творческие права,<null>,Дэнни Грэгори,http://www.mann-ivanov-ferber.ru/books/tvorcheskie-prava/,2017-02-28 16:57:19,2017-02-28 17:03:41
25,16699,11,Привычка достигать,<null>,Бернард Рос,http://www.mann-ivanov-ferber.ru/books/privychka-dostigat/,2017-02-28 16:57:19,2017-02-28 17:03:41
26,17396,11,Однозадачность,<null>,Девора Зак,http://www.mann-ivanov-ferber.ru/books/odnozadachnost/,2017-02-28 16:57:19,2017-02-28 17:03:41
30,17471,12,Творческий девичник,<null>,"Джулия Ротман, Ли Горин, Рэйчел Коул",http://www.mann-ivanov-ferber.ru/books/tvorcheskij-devichnik/,2017-02-28 16:57:19,2017-02-28 17:03:41
31,17673,11,Мастерство,<null>,Джордж Леонард,http://www.mann-ivanov-ferber.ru/books/masterstvo/,2017-02-28 16:57:19,2017-02-28 17:03:41
32,17775,9,Книга продаж девелопера,<null>,"Сергей Разуваев, Анна Печеркина",http://www.mann-ivanov-ferber.ru/books/kniga-prodazh-developera/,2017-02-28 16:57:19,2017-02-28 17:03:41
34,17909,12,Портреты цветов от А до Я,<null>,Билли Шоуэлл,http://www.mann-ivanov-ferber.ru/books/portretyi-czvetov-ot-a-do-ya/,2017-02-28 16:57:19,2017-02-28 17:03:41
35,16761,9,Не всем достанется приз,<null>,Брюс Тулган,http://www.mann-ivanov-ferber.ru/books/ne-vsem-dostanetsya-priz/,2017-02-28 16:57:19,2017-02-28 17:03:41
37,17339,11,Поцелуй лягушку!,<null>,"Брайан Трейси, Кристина Трейси Стайн",http://www.mann-ivanov-ferber.ru/books/poczeluj-lyagushku/,2017-02-28 16:57:19,2017-02-28 17:03:41
38,18330,14,Межпланетный рыцарский турнир,<null>,Максим Демин,http://www.mann-ivanov-ferber.ru/books/urokeryi-tablicza-umnozheniya/,2017-02-28 16:57:19,2017-02-28 17:03:41
60,17918,14,Kumon. 3D поделки из бумаги. Кошка и собака,<null>,<null>,http://www.mann-ivanov-ferber.ru/books/children/kumon-3d-podelki-iz-bumagi-koshka-i-sobaka/,2017-02-28 16:57:20,2017-02-28 16:57:20
61,17920,14,Kumon. 3D поделки из бумаги. Тираннозавр и апатозавр ,<null>,<null>,http://www.mann-ivanov-ferber.ru/books/kumon-3d-podelki-iz-bumagi-tirannozavr-i-apatozavr/,2017-02-28 16:57:20,2017-02-28 16:57:20
62,17921,14,Kumon. 3D поделки из бумаги. Лев и мышь,<null>,<null>,http://www.mann-ivanov-ferber.ru/books/kumon-3d-podelki-iz-bumagi-lev-i-myish/,2017-02-28 16:57:20,2017-02-28 16:57:20
