ID,CategoryID,Title,Authors,ISBN,URL
"17680","12","Планинг для творческих людей. Изумительные сады","","","http://www.mann-ivanov-ferber.ru/books/planing-dlya-tvorcheskix-lyudej-izumitelnyie-sadyi/"
"17981","12","Невероятные лабиринты","Гарет Мур","","http://www.mann-ivanov-ferber.ru/books/neveroyatnyie-labirintyi/"
"17387","9","Культура для каждого","Роберт Киган, Лиза Лэйхи","","http://www.mann-ivanov-ferber.ru/books/kultura-dlya-kazhdogo/"
"17334","12","Большой творческий челендж","Роза Робертс","","http://www.mann-ivanov-ferber.ru/books/bolshoj-tvorcheskij-chelendzh/"
"18176","","Любителю волшебных историй. Подарочный комплект","Ребекка Дотремер","","http://www.mann-ivanov-ferber.ru/books/lyubitelyu-volshebnyix-istorij/"
"17663","9","Управление продуктом в Scrum","Роман Пихлер","","http://www.mann-ivanov-ferber.ru/books/upravlenie-produktom-v-scrum/"
"17793","14","Как жили на Руси","Елена Качур","","http://www.mann-ivanov-ferber.ru/books/kak-zhili-na-rusi/"
"17958","14","Я что-то забыл, и сам не помню что","Нельсон Деллис, Ксения Дерека","","http://www.mann-ivanov-ferber.ru/books/ya-chto-to-zabyil-i-sam-ne-pomnyu-chto/"
"17999","12","Удивительные города. Настенный календарь — 2017","Стив Макдональд","","http://www.mann-ivanov-ferber.ru/books/paperbook/udivitelnyie-goroda-nastennyij-kalendar-2017/"
"17210","11","Почему я отвлекаюсь","Эдвард М. Хэлловэлл, Джон Рэйти","","http://www.mann-ivanov-ferber.ru/books/pochemu-ya-otvlekayus/"
"17498","11","Со мной хотят общаться","Нина Зверева","","http://www.mann-ivanov-ferber.ru/books/so-mnoj-xotyat-obshhatsya/"
"17828","14","Ночная сказка","Беатрис Корон","","http://www.mann-ivanov-ferber.ru/books/nochnaya-skazka/"
"17995","14","Дело о новогодней елке","Юлия Луговская, Анна Бабушкина","","http://www.mann-ivanov-ferber.ru/books/delo-o-novogodnej-elke/"
"17976","14","Зимние истории","Сара Уэйд","","http://www.mann-ivanov-ferber.ru/books/zimnie-istorii/"
"17984","5","Блокнот для записей МИФа (твердая обложка)","","","http://www.mann-ivanov-ferber.ru/books/bloknot-dlya-zapisej-mif-tverdyij-pereplet/"
"17874","14","Звездная, звездная ночь","Джимми Лиао","","http://www.mann-ivanov-ferber.ru/books/zvezdnaya-zvezdnaya-noch/"
"16004","13","Растительная диета","Линдси Никсон","","http://www.mann-ivanov-ferber.ru/books/rastitelnaya-dieta/"
"17392","10","Делай новое!","Игорь Манн, Дмитрий Турусин, Роман Тарасенко","","http://www.mann-ivanov-ferber.ru/books/delaj-novoe/"
"17405","15","Экономикс","Майкл Гудвин, Дэвид Бах, Джоэл Бакан","","http://www.mann-ivanov-ferber.ru/books/ekonomiks/"
"17045","15","Статистика","Грейди Клейн, Алан Дебни","","http://www.mann-ivanov-ferber.ru/books/statistika/"
"17823","14","Животные Севера","Дитер Браун","","http://www.mann-ivanov-ferber.ru/books/zhivotnyie-severa/"
"17937","14","Хильда и полуночный великан","Люк Пирсон","","http://www.mann-ivanov-ferber.ru/books/xilda-i-polunochnyij-velikan/"
"17898","14","Хильда и тролль","Люк Пирсон","","http://www.mann-ivanov-ferber.ru/books/xilda-i-troll/"
"17929","14","Год в лесу. Календарь 2017","Евгения Салихова","","http://www.mann-ivanov-ferber.ru/books/god-v-lesu-kalendar-2017/"
"17798","14","Чем они отличаются?","Гийом Плантвен","","http://www.mann-ivanov-ferber.ru/books/chem-oni-otlichayutsya/"
"17475","12","Draw my life","","","http://www.mann-ivanov-ferber.ru/books/istoriya-moej-zhizni/"
"17861","5","Блокнот для записей МИФа (белый)","","","http://www.mann-ivanov-ferber.ru/books/bloknot-dlya-zapisej-mifa-belyij/"
"17931","14","Ежедневник SelfMama","Оксана Татарина, Полина Рычалова, Катерина Назарова, Евгения Которова","","http://www.mann-ivanov-ferber.ru/books/ezhednevnik-selfmama/"
"17802","11","Тренируем мозг. Тетрадь для развития памяти и интеллекта №2","Рюта Кавашима","","http://www.mann-ivanov-ferber.ru/books/treniruem-mozg-2/"
"17855","14","Kumon. Развитие мышления. Логика","","","http://www.mann-ivanov-ferber.ru/books/kumon-razvitie-myshleniya-logika/"
"17805","14","Уроки льва","Джон Эйджи","","http://www.mann-ivanov-ferber.ru/books/uroki-lva/"
"17856","14","Kumon. Развитие мышления. Пространственное мышление","","","http://www.mann-ivanov-ferber.ru/books/kumon-razvitie-myshleniya-prostranstvennoe-myshlenie/"
"17857","14","Kumon. Развитие мышления. Сходство и различие","","","http://www.mann-ivanov-ferber.ru/books/kumon-razvitie-myshleniya-shodstvo-i-razlichie/"
"17858","14","Kumon. Развитие мышления. Творческие способности","","","http://www.mann-ivanov-ferber.ru/books/kumon-razvitie-myshleniya-tvorcheskie-sposobnosti/"
"17700","14","KUMON. Найди пару. Уровень 1","","","http://www.mann-ivanov-ferber.ru/books/kumon-najdi-paru-uroven-1/"
"17701","14","KUMON. Найди пару. Уровень 2","","","http://www.mann-ivanov-ferber.ru/books/kumon-najdi-paru-uroven-2/"
"17892","14","Привет, Землянин!","Марк тер Хорст","","http://www.mann-ivanov-ferber.ru/book/privet-zemlyanin/"
"17572","9","Стратегия голубого океана","Чан Ким и Рене Моборн","","http://www.mann-ivanov-ferber.ru/books/paperbook/blueoceanstrategy/"
"17873","14","Сделай свою книгу","Тоня Виатровски","","http://www.mann-ivanov-ferber.ru/books/sdelaj-svoyu-knigu/"
"17526","11","Под давлением","Хендри Вейсингер, Дж. П. Полив-Фрай","","http://www.mann-ivanov-ferber.ru/books/pod-davleniem/"
"17827","14","LEGO-архитектура","Том Алфин","","http://www.mann-ivanov-ferber.ru/books/lego-arhitektura/"
"17010","12","Привычка к творчеству","Твайла Тарп","","http://www.mann-ivanov-ferber.ru/books/privychka-k-tvorchestvu/"
"17558","12","Ни дня без кисти","Кэрол Марин","","http://www.mann-ivanov-ferber.ru/books/ni-dnya-bez-kisti/"
"17819","14","Невозможное возможно. Лабиринты","Элизабет Голдинг","","http://www.mann-ivanov-ferber.ru/books/nevozmozhnoe-vozmozhno-labirinty/"
"17836","14","Невозможное возможно. От точки к точке","Элизабет Голдинг","","http://www.mann-ivanov-ferber.ru/books/nevozmozhnoe-vozmozhno-ot-tochki-k-tochke/"
"17835","14","Невозможное возможно. Головоломки","Элизабет Голдинг","","http://www.mann-ivanov-ferber.ru/books/nevozmozhnoe-vozmozhno-golovolomki/"
"17834","14","Невозможное возможно. Найди отличия","Элизабет Голдинг","","http://www.mann-ivanov-ferber.ru/books/nevozmozhnoe-vozmozhno-najdi-otlichiya/"
"15631","9","Прыжок в мечту, или Продажи в B2B","Михаил Воронин","","http://www.mann-ivanov-ferber.ru/books/pryzhok-v-mechtu-ili-prodazhi-v-b2b/"
"17809","14","Мир природы","Аманда Вуд и Майк Джолли, Оуэн Дэйви","","http://www.mann-ivanov-ferber.ru/books/mir-prirodyi/"
"17340","13","Вечно уставший","Джейкоб Тейтельбаум","","http://www.mann-ivanov-ferber.ru/books/vechno-ustavshij/"
"16006","9","Мастер историй","Пол Смит","","http://www.mann-ivanov-ferber.ru/books/master-istorij/"
"17130","9","Уроки лидерства","Алекс Фергюсон, Майкл Мориц","","http://www.mann-ivanov-ferber.ru/books/uroki-liderstva/"
"17344","11","Как я изучаю языки","Като Ломб","","http://www.mann-ivanov-ferber.ru/books/kak-ya-izuchayu-yazyiki/"
"17302","11","Сейчас!","Эрик Бертран Ларссен","","http://www.mann-ivanov-ferber.ru/books/sejchas/"
"17318","15","Философия","Пол Клейнман","","http://www.mann-ivanov-ferber.ru/books/filosofiya/"
"17284","14","Тридцать миллионов слов","Дана Саскинд, Бет Саскинд, Лесли Левинтер-Саскинд","","http://www.mann-ivanov-ferber.ru/books/tridczat-millionov-slov/"
"17418","11","Планирование","Кордула Нуссбаум","","http://www.mann-ivanov-ferber.ru/books/planirovanie-prostye-praktiki/"
"17462","11","Уверенность в себе","Ивонн Рубин","","http://www.mann-ivanov-ferber.ru/books/uverennost-v-sebe-prostye-praktiki/"
"17047","11","Брось себе вызов","Грег Уайт","","http://www.mann-ivanov-ferber.ru/books/bros-sebe-vyzov/"
"17337","12","Доведи идею до ума","Нора Хертинг, Хезер Уиллемс","","http://www.mann-ivanov-ferber.ru/books/dovedi-ideyu-do-uma/"
"17706","14","Кролик, который хочет уснуть","Карл-Йохан Форссен Эрлин","","http://www.mann-ivanov-ferber.ru/books/krolik-kotoryij-hochet-usnut/"
"17708","14","Банка с историями","Эмили Ньюбургер","","http://www.mann-ivanov-ferber.ru/books/banka-s-istoriyami/"
